strategy,sample,total_pnl,total_trades,windows_traded,windows_total,win_rate,avg_pnl,profit_factor,max_drawdown,sharpe,avg_hold_seconds,avg_entry_price,target_hits,stop_hits,settlement_exits,avg_scalps_per_window
chop_v2_chop,TRAIN,-44290.82803639067,2263,2259,6274,0.08793636765355722,-19.571731346173525,0.06767780972643986,-4.429082803639067,-150.4141998365677,119.57003977021652,0.505008777120543,2,631,1630,1.0017706949977867
chop_v2_chop,TEST,-19627.723316687563,1037,1037,2690,0.085824493731919,-18.92740917713363,0.0612044273894502,-1.9627723316687562,-126.15716174426612,120.93056894889104,0.5050934517966161,0,255,782,1.0
