sample,strategy,total_pnl,trades,markets,touch_rate,win_rate,profit_factor,avg_pnl,max_drawdown,raw_5m_sharpe,wins,losses,avg_entry_price,avg_ask_price,avg_entry_seconds_left
TRAIN,first_touch_1c_fixed_fill,0.0,0,6274,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
TRAIN,first_touch_1c_ask_fill,0.0,0,6274,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
TRAIN,forced_current_loser_fixed_1c_5s_left,250174.60000001354,6270,6274,0.9993624481989162,0.04992025518341308,5.191291749219372,39.90025518341309,-1.3111277500055485,0.0017063975172555146,313,5957,0.009999999999999998,0.5012836765102792,5.0
TRAIN,forced_current_loser_fixed_1c_10s_left,363204.6599999877,6267,6274,0.9988842843481033,0.06797510770703687,7.205781554507831,57.955107707036866,-1.185551923026906,0.006867062962641132,426,5841,0.009999999999999998,0.5022665849271838,10.0
TRAIN,forced_current_loser_fixed_1c_15s_left,428174.5999999831,6270,6274,0.9993624481989162,0.07830940988835726,8.394358194840637,68.28940988835727,-1.185551923026906,0.00635163195561793,491,5779,0.009999999999999998,0.5027467472447558,15.0
TRAIN,forced_current_loser_fixed_1c_30s_left,551164.5799999669,6271,6274,0.9995218361491871,0.09791101897623983,10.723607054937323,87.89101897623985,-1.185551923026906,0.008045672196414888,614,5657,0.009999999999999998,0.5034103476254604,30.0
TRAIN,forced_current_loser_fixed_1c_60s_left,1044264.7799999178,6261,6274,0.9979279566464775,0.17680881648298993,21.220807511868003,166.78881648298994,-0.011639209244220128,0.18257156346031211,1107,5154,0.009999999999999998,0.5039417209218445,60.0
TRAIN,forced_current_loser_fixed_1c_120s_left,1502385.0199999062,6249,6274,0.996015301243226,0.2504400704112658,33.010808016758965,240.4200704112658,-0.006018030066126112,0.1997078711528383,1565,4684,0.009999999999999997,0.5043553673754458,120.0
TEST,first_touch_1c_fixed_fill,0.0,0,2690,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
TEST,first_touch_1c_ask_fill,0.0,0,2690,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
TEST,forced_current_loser_fixed_1c_5s_left,110116.33999999908,2683,2690,0.9973977695167286,0.051062243756988444,5.316439391444919,41.042243756988455,-0.023551340256634523,0.14963231090208892,137,2546,0.01,0.5014983273720203,5.0
TEST,forced_current_loser_fixed_1c_10s_left,178106.32000000498,2684,2690,0.9977695167286246,0.0763785394932936,8.170262943254274,66.3585394932936,-0.018349761465892178,0.1774205047747124,205,2479,0.009999999999999998,0.5024312575514525,10.0
TEST,forced_current_loser_fixed_1c_15s_left,207086.28000000626,2686,2690,0.9985130111524163,0.08711839166046165,9.428749352844068,77.09839166046166,-0.02207171618974446,0.18723487819632015,234,2452,0.009999999999999998,0.5028940194784155,15.0
TEST,forced_current_loser_fixed_1c_30s_left,325106.3200000015,2684,2690,0.9977695167286246,0.13114754098360656,14.913267804014614,121.12754098360658,-0.010751488254911568,0.21434614161381924,352,2332,0.009999999999999998,0.503525077514414,30.0
TEST,forced_current_loser_fixed_1c_60s_left,438136.37999998854,2681,2690,0.9966542750929368,0.17344274524431183,20.73203322596684,163.4227452443118,-0.005874985067013672,0.23482533983397053,465,2216,0.009999999999999998,0.5039934742343682,60.0
TEST,forced_current_loser_fixed_1c_120s_left,645216.5399999762,2673,2690,0.9936802973977695,0.25140291806958476,33.18034395975665,241.38291806958475,-0.003864611858308775,0.2680021470018849,672,2001,0.009999999999999998,0.5043709374324075,120.0
