window_start,LIVE_ORB,LIVE_VWM,LIVE_RENKO,CONSENSUS_2_OF_3,CHEAP_LEADER_PULLBACK,OPEN_FLIP_VALUE,LIVE_PRIORITY_PORTFOLIO
2026-03-26 03:05:00+00:00,10009.033931138445,10009.033931138445,10000.0,10009.033931138445,10009.032625723195,10000.0,10009.033931138445
2026-03-26 03:10:00+00:00,10018.078902369854,10018.078909734122,10000.0,10018.078902369854,10018.049212029357,10000.0,10018.078902369854
2026-03-26 03:15:00+00:00,10027.102391808312,10027.10239917258,10000.0,10027.102391808312,10027.070401612538,10000.0,10027.102391808312
2026-03-26 03:20:00+00:00,10036.098469363764,10036.098476728032,10008.955985108005,10036.058376916317,10036.061574386513,10000.0,10036.098469363764
2026-03-26 03:25:00+00:00,10045.104704170068,10045.104711534335,10017.959298810669,10045.06169061898,10045.063868680561,10000.0,10045.104704170068
2026-03-26 03:30:00+00:00,10054.14498494716,10054.144992311427,10017.959298810669,10054.101971396072,10054.072949459649,10000.0,10054.14498494716
2026-03-26 03:35:00+00:00,10063.183835171842,10063.183866916674,10017.959298810669,10063.140821620753,10063.093369083545,10000.0,10063.183835171842
2026-03-26 03:40:00+00:00,10053.183835171842,10053.183866916674,10017.959298810669,10053.140821620753,10053.093369083545,10000.0,10053.183835171842
2026-03-26 03:45:00+00:00,10062.218744597803,10062.21881167278,10017.959298810669,10062.175731046716,10062.127105022499,10000.0,10062.218744597803
2026-03-26 03:50:00+00:00,10052.218744597803,10052.21881167278,10017.959298810669,10052.175731046716,10071.15759973944,10000.0,10052.218744597803
2026-03-26 03:55:00+00:00,10042.218744597803,10042.21881167278,10017.959298810669,10042.175731046716,10071.15759973944,10000.0,10042.218744597803
2026-03-26 04:00:00+00:00,10051.251539952837,10042.21881167278,10017.959298810669,10042.175731046716,10080.1889814521,10000.0,10051.251539952837
2026-03-26 04:05:00+00:00,10041.251539952837,10032.21881167278,10017.959298810669,10032.175731046716,10080.1889814521,10000.0,10041.251539952837
2026-03-26 04:10:00+00:00,10050.2712076849,10041.238479404843,10017.959298810669,10041.19539877878,10089.205985659371,10000.0,10050.2712076849
2026-03-26 04:15:00+00:00,10059.307214332935,10050.274518334823,10017.959298810669,10050.231405426814,10098.240920060009,10000.0,10059.307214332935
2026-03-26 04:20:00+00:00,10068.334626754771,10059.301930756661,10017.959298810669,10059.258817848651,10107.26640610059,10000.0,10068.334626754771
2026-03-26 04:25:00+00:00,10077.379861336129,10068.347171969932,10017.959298810669,10068.304052430009,10116.29930352095,10000.0,10077.379861336129
2026-03-26 04:30:00+00:00,10086.401160321695,10077.368470955498,10017.959298810669,10077.325351415573,10125.318094190417,10000.0,10086.401160321695
2026-03-26 04:35:00+00:00,10095.439030731202,10086.406341365004,10017.959298810669,10086.36322182508,10125.318094190417,10000.0,10095.439030731202
2026-03-26 04:40:00+00:00,10085.439030731202,10076.406341365004,10017.959298810669,10076.36322182508,10125.318094190417,10000.0,10085.439030731202
2026-03-26 04:45:00+00:00,10094.482493938334,10076.406341365004,10017.959298810669,10076.36322182508,10125.318094190417,10000.0,10094.482493938334
2026-03-26 04:50:00+00:00,10103.528473260429,10085.452325247843,10017.959298810669,10085.409201147175,10134.35157783429,10000.0,10103.528473260429
2026-03-26 04:55:00+00:00,10093.528473260429,10075.452325247843,10017.959298810669,10075.409201147175,10124.35157783429,10000.0,10093.528473260429
2026-03-26 05:00:00+00:00,10102.57185596521,10084.495707952627,10017.959298810669,10084.452583851958,10133.38002788758,10000.0,10102.57185596521
2026-03-26 05:05:00+00:00,10111.556737688203,10084.495707952627,10026.962755826251,10093.45604086754,10142.35894328084,10000.0,10111.556737688203
