strategy,sample,total_pnl,total_trades,windows_traded,windows_total,win_rate,avg_pnl,profit_factor,max_drawdown,sharpe,avg_entry_price,avg_outcome
chop_dir_all_patterns,TRAIN,1589961.9752232758,4191,4191,6274,0.7000715819613458,379.3753221721011,2.2623614943726515,-0.10165478794934069,52.51319815749335,0.505587989415462,0.7000715819613458
chop_dir_all_patterns,TEST,855163.297453828,1888,1888,2690,0.7372881355932204,452.9466617869851,2.720678194928345,-0.25878884837065896,48.719969717835646,0.5055978362143234,0.7372881355932204
