window_start,LIVE_ORB,LIVE_VWM,LIVE_RENKO,CONSENSUS_2_OF_3,CHEAP_LEADER_PULLBACK,OPEN_FLIP_VALUE,LIVE_PRIORITY_PORTFOLIO
2026-03-26 03:05:00+00:00,10008.005769413134,10008.005769413134,10000.0,10008.005769413134,10008.004601214558,10000.0,10008.005769413134
2026-03-26 03:10:00+00:00,10016.021418111042,10016.021424700788,10000.0,10016.021418111042,10015.994848263685,10000.0,10016.021418111042
2026-03-26 03:15:00+00:00,10024.017843144818,10024.017849734566,10000.0,10024.017843144818,10023.989215060075,10000.0,10024.017843144818
2026-03-26 03:20:00+00:00,10031.989734381046,10031.989740970794,10007.936001382683,10031.953844527501,10031.956716085195,10000.0,10031.989734381046
2026-03-26 03:25:00+00:00,10039.9707168621,10039.970723451848,10015.914369384353,10039.932212529171,10039.934171673975,10000.0,10039.9707168621
2026-03-26 03:30:00+00:00,10047.98216835813,10047.982174947878,10015.914369384353,10047.9436640252,10047.91770134825,10000.0,10047.98216835813
2026-03-26 03:35:00+00:00,10055.992339717704,10055.9923681246,10015.914369384353,10055.953835384775,10055.91137906963,10000.0,10055.992339717704
2026-03-26 03:40:00+00:00,10045.992339717704,10045.9923681246,10015.914369384353,10045.953835384775,10045.91137906963,10000.0,10045.992339717704
2026-03-26 03:45:00+00:00,10053.998984581523,10053.999044604592,10015.914369384353,10053.960480248594,10053.916973801912,10000.0,10053.998984581523
2026-03-26 03:50:00+00:00,10043.998984581523,10043.999044604592,10015.914369384353,10043.960480248594,10061.919667989,10000.0,10043.998984581523
2026-03-26 03:55:00+00:00,10033.998984581523,10033.999044604592,10015.914369384353,10033.960480248594,10061.919667989,10000.0,10033.998984581523
2026-03-26 04:00:00+00:00,10042.003737597825,10033.999044604592,10015.914369384353,10033.960480248594,10069.923155947183,10000.0,10042.003737597825
2026-03-26 04:05:00+00:00,10032.003737597825,10023.999044604592,10015.914369384353,10023.960480248594,10069.923155947183,10000.0,10032.003737597825
2026-03-26 04:10:00+00:00,10039.996742410756,10031.992049417526,10015.914369384353,10031.953485061527,10077.91377700539,10000.0,10039.996742410756
2026-03-26 04:15:00+00:00,10048.004369151722,10039.999705046721,10015.914369384353,10039.961111802493,10085.9204442185,10000.0,10048.004369151722
2026-03-26 04:20:00+00:00,10056.004304966611,10047.999640861608,10015.914369384353,10047.96104761738,10093.918656073854,10000.0,10056.004304966611
2026-03-26 04:25:00+00:00,10064.020189317034,10056.01553114644,10015.914369384353,10055.976931967803,10101.923500427269,10000.0,10064.020189317034
2026-03-26 04:30:00+00:00,10072.014654022836,10064.009995852244,10015.914369384353,10063.971396673605,10109.915720306073,10000.0,10072.014654022836
2026-03-26 04:35:00+00:00,10080.023948584263,10072.01929041367,10015.914369384353,10071.980691235032,10109.915720306073,10000.0,10080.023948584263
2026-03-26 04:40:00+00:00,10070.023948584263,10062.01929041367,10015.914369384353,10061.980691235032,10109.915720306073,10000.0,10070.023948584263
2026-03-26 04:45:00+00:00,10078.038247855286,10062.01929041367,10015.914369384353,10061.980691235032,10109.915720306073,10000.0,10078.038247855286
2026-03-26 04:50:00+00:00,10086.054798617559,10070.035845256998,10015.914369384353,10069.997241997306,10117.921089263298,10000.0,10086.054798617559
2026-03-26 04:55:00+00:00,10076.054798617559,10060.035845256998,10015.914369384353,10059.997241997306,10107.921089263298,10000.0,10076.054798617559
2026-03-26 05:00:00+00:00,10084.069025852257,10068.050072491696,10015.914369384353,10068.011469232004,10115.92195366882,10000.0,10084.069025852257
2026-03-26 05:05:00+00:00,10092.030895654112,10068.050072491696,10023.892865656593,10075.989965504243,10123.87848272494,10000.0,10092.030895654112
2026-03-26 05:10:00+00:00,10100.025213313082,10076.044455990137,10023.892865656593,10083.984283163212,10131.870613667801,10000.0,10100.025213313082
2026-03-26 05:15:00+00:00,10108.038235144259,10084.057491715097,10023.892865656593,10091.99730499439,10131.870613667801,10000.0,10108.038235144259
