sample,strategy,variant,momentum_bps,entry_cap,entry_window_seconds,slippage_cents,momentum_lookback_seconds,total_pnl,trades,signals,fill_rate,win_rate,profit_factor,avg_entry_price,avg_pnl,max_drawdown,raw_5m_sharpe
TRAIN,follow_mom0bps_cap0.50_win5s_slip0.00c,follow,0.0,0.5,5,0.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win5s_slip1.00c,follow,0.0,0.5,5,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win5s_slip2.00c,follow,0.0,0.5,5,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win5s_slip5.00c,follow,0.0,0.5,5,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win10s_slip0.00c,follow,0.0,0.5,10,0.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win10s_slip1.00c,follow,0.0,0.5,10,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win10s_slip2.00c,follow,0.0,0.5,10,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win10s_slip5.00c,follow,0.0,0.5,10,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win20s_slip0.00c,follow,0.0,0.5,20,0.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win20s_slip1.00c,follow,0.0,0.5,20,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win20s_slip2.00c,follow,0.0,0.5,20,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win20s_slip5.00c,follow,0.0,0.5,20,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win30s_slip0.00c,follow,0.0,0.5,30,0.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win30s_slip1.00c,follow,0.0,0.5,30,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win30s_slip2.00c,follow,0.0,0.5,30,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win30s_slip5.00c,follow,0.0,0.5,30,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win60s_slip0.00c,follow,0.0,0.5,60,0.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win60s_slip1.00c,follow,0.0,0.5,60,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win60s_slip2.00c,follow,0.0,0.5,60,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.50_win60s_slip5.00c,follow,0.0,0.5,60,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win5s_slip0.00c,follow,0.0,0.51,5,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.51_win5s_slip1.00c,follow,0.0,0.51,5,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win5s_slip2.00c,follow,0.0,0.51,5,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win5s_slip5.00c,follow,0.0,0.51,5,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win10s_slip0.00c,follow,0.0,0.51,10,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.51_win10s_slip1.00c,follow,0.0,0.51,10,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win10s_slip2.00c,follow,0.0,0.51,10,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win10s_slip5.00c,follow,0.0,0.51,10,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win20s_slip0.00c,follow,0.0,0.51,20,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.51_win20s_slip1.00c,follow,0.0,0.51,20,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win20s_slip2.00c,follow,0.0,0.51,20,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win20s_slip5.00c,follow,0.0,0.51,20,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win30s_slip0.00c,follow,0.0,0.51,30,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.51_win30s_slip1.00c,follow,0.0,0.51,30,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win30s_slip2.00c,follow,0.0,0.51,30,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win30s_slip5.00c,follow,0.0,0.51,30,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win60s_slip0.00c,follow,0.0,0.51,60,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.51_win60s_slip1.00c,follow,0.0,0.51,60,1.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win60s_slip2.00c,follow,0.0,0.51,60,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.51_win60s_slip5.00c,follow,0.0,0.51,60,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win5s_slip0.00c,follow,0.0,0.52,5,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.52_win5s_slip1.00c,follow,0.0,0.52,5,1.0,60,-3697.616893203902,6109,6109,1.0,0.48485840563103616,0.8827379593148027,0.5149999999999999,-0.6052736770672588,-0.3755632306263983,-0.06057792708589718
TRAIN,follow_mom0bps_cap0.52_win5s_slip2.00c,follow,0.0,0.52,5,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win5s_slip5.00c,follow,0.0,0.52,5,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win10s_slip0.00c,follow,0.0,0.52,10,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.52_win10s_slip1.00c,follow,0.0,0.52,10,1.0,60,-3697.616893203902,6109,6109,1.0,0.48485840563103616,0.8827379593148027,0.5149999999999999,-0.6052736770672588,-0.3755632306263983,-0.06057792708589718
TRAIN,follow_mom0bps_cap0.52_win10s_slip2.00c,follow,0.0,0.52,10,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win10s_slip5.00c,follow,0.0,0.52,10,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win20s_slip0.00c,follow,0.0,0.52,20,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.52_win20s_slip1.00c,follow,0.0,0.52,20,1.0,60,-3697.616893203902,6109,6109,1.0,0.48485840563103616,0.8827379593148027,0.5149999999999999,-0.6052736770672588,-0.3755632306263983,-0.06057792708589718
TRAIN,follow_mom0bps_cap0.52_win20s_slip2.00c,follow,0.0,0.52,20,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win20s_slip5.00c,follow,0.0,0.52,20,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win30s_slip0.00c,follow,0.0,0.52,30,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.52_win30s_slip1.00c,follow,0.0,0.52,30,1.0,60,-3697.616893203902,6109,6109,1.0,0.48485840563103616,0.8827379593148027,0.5149999999999999,-0.6052736770672588,-0.3755632306263983,-0.06057792708589718
TRAIN,follow_mom0bps_cap0.52_win30s_slip2.00c,follow,0.0,0.52,30,2.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win30s_slip5.00c,follow,0.0,0.52,30,5.0,60,0.0,0,6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.52_win60s_slip0.00c,follow,0.0,0.52,60,0.0,60,-2558.71465346529,6109,6109,1.0,0.48485840563103616,0.9188558170134042,0.5049999999999999,-0.4188434528507685,-0.2680867584864668,-0.04123682113456263
TRAIN,follow_mom0bps_cap0.52_win60s_slip1.00c,follow,0.0,0.52,60,1.0,60,-3697.616893203902,6109,6109,1.0,0.48485840563103616,0.8827379593148027,0.5149999999999999,-0.6052736770672588,-0.3755632306263983,-0.06057792708589718
