feature,importance
recovery,75
initial_move,57
strength,50
time_to_low,38
down_move,34
bb_pct,34
ret_30s,28
range_pct,28
up_move,26
ret_15s,25
vol_120s,25
price_in_range,24
ema_cross,23
time_to_high,21
vol_60s,19
vol_accel,18
chop_ratio,18
rsi,17
asymmetry,16
vol_30s,12
