strategy,sample,total_pnl,total_trades,windows_traded,windows_total,win_rate,avg_pnl,profit_factor,max_drawdown,sharpe,avg_hold_seconds,avg_entry_price,target_hits,stop_hits,settlement_exits,avg_scalps_per_window,avg_range_pct
opening_chop_scalper,TRAIN,-54246.36096020551,2418,2418,6274,0.09181141439205956,-22.434392456660703,0.05471598675945111,-5.424636096020551,-151.12005808170252,118.33746898263027,0.5049951680368274,1,13,2404,1.0,0.0008011130803585153
opening_chop_scalper,TEST,-26663.673760220285,1102,1102,2690,0.07713248638838476,-24.19571121617084,0.038715570366366726,-2.666367376022029,-144.01869253144915,118.86025408348458,0.504918301501047,1,4,1097,1.0,0.0008403424258160016
