feature,importance
net_move,153
post_extreme_move,81
bb_width,61
vol_ratio,49
momentum_accel,48
price_in_range,47
max_up,46
range_pct,45
recent_ret,44
vol_60s,44
vol_30s,43
ema_cross,41
max_down,40
rsi,37
bb_pct,37
prev_ret,35
vol_10s,35
chop_ratio,28
ret_10s,25
pattern_up_first,21
is_trend,19
pattern_down_first,11
ret_120s,0
is_flat,0
is_chop,0
ret_60s,0
ret_30s,0
time_frac,0
