sample,strategy,total_pnl,trades,win_rate,profit_factor,avg_profit_per_trade,max_drawdown,raw_5m_sharpe,avg_entry_price,avg_one_loss_wipes_out_wins
TRAIN,CHEAP_LEADER_PULLBACK,33862.36873091723,5182,0.8363566190659977,4.993203859777968,6.534613803727743,-0.00320712780495247,0.6855070909513129,0.505784680494348,1.0234125332795982
TRAIN,LIVE_PRIORITY_PORTFOLIO,28570.969659035494,6132,0.7411937377690803,2.8003131480173575,4.65932316683553,-0.00416025727749314,0.48608101624123345,0.5055402126042927,1.0224118153911104
TRAIN,LIVE_ORB,28230.85653649045,6079,0.7404178318802435,2.789027663909406,4.643996798238267,-0.004165919528743678,0.48245967777652027,0.5055397866538806,1.0224100695300278
TRAIN,CONSENSUS_2_OF_3,20842.499812041366,3314,0.824381412190706,4.581185534715017,6.289227462897222,-0.004085798511646366,0.4821678264716984,0.5059828004416589,1.0242286663499647
TRAIN,LIVE_VWM,15245.640900454528,2739,0.7871485943775101,3.6150327445033494,5.566133954163756,-0.004992626300355463,0.3844200123534189,0.5056190717872255,1.022734502323334
TRAIN,LIVE_RENKO,13829.055344268963,1617,0.9400123685837971,15.25675808687523,8.552291493054403,-0.0020036673678897055,0.4834399425180172,0.5066495709906658,1.0269649118836017
TRAIN,OPEN_FLIP_VALUE,2715.1939035522482,664,0.7123493975903614,2.421567488770812,4.089147445108812,-0.0064082368347431196,0.13621949040413137,0.5055681341474969,1.0225243775008253
TEST,CHEAP_LEADER_PULLBACK,13366.084814680464,2153,0.8197863446353925,4.444867220278471,6.208121140120978,-0.003777826871741663,0.6509473016240364,0.5057508118767687,1.0232738316252308
TEST,LIVE_PRIORITY_PORTFOLIO,11489.510159295187,2615,0.7277246653919694,2.61369524709202,4.393694133573684,-0.005961531647661222,0.48262288878690607,0.5055191269782215,1.0223254090910745
TEST,LIVE_ORB,11216.599282748844,2579,0.7254749903063202,2.584265435416505,4.349204840150779,-0.005961531647661222,0.4727637724430378,0.5055186686579455,1.022323537141056
TEST,CONSENSUS_2_OF_3,8102.660439132345,1326,0.8152337858220211,4.307208342502998,6.1106036494210745,-0.004981094887298365,0.4780260549277329,0.5059317586433959,1.0240187812616732
TEST,LIVE_VWM,5871.932529237416,1082,0.7800369685767098,3.4671985416963933,5.426924703546595,-0.006017066576482155,0.37194386692888365,0.5055808305035726,1.0225777844982566
TEST,LIVE_RENKO,5207.565971035419,638,0.9200626959247649,11.210913668696893,8.16232910820598,-0.001921831517595285,0.44025407650721543,0.5065405734512533,1.0265166503087169
TEST,OPEN_FLIP_VALUE,1388.430301511622,328,0.7195121951219512,2.509163371208284,4.233019211925676,-0.005742757387803388,0.1509112353971365,0.5055120537283242,1.0222941514265123
