window_start,scalp_num,side,entry_idx,entry_price,exit_idx,exit_price,exit_type,pnl,seconds_held,entry_reason
2026-03-26 05:20:00+00:00,1,DOWN,140,0.5051958454337732,299,0.49545986108440465,settlement,-23.233159711214455,159,cross_above_mid
2026-03-26 05:25:00+00:00,1,DOWN,140,0.5049531666106004,299,0.49327347892484485,settlement,-27.08397903240191,159,cross_above_mid
2026-03-26 05:40:00+00:00,1,UP,140,0.5050158824550958,240,0.49082186189486543,stop,-32.04987528361434,100,cross_below_mid
2026-03-26 06:00:00+00:00,1,DOWN,140,0.5048604161480481,299,0.4974406933073596,settlement,-18.667189500623582,159,cross_above_mid
2026-03-26 06:35:00+00:00,1,DOWN,140,0.5051825445362618,299,0.4957827798434833,settlement,-22.56945625863674,159,cross_above_mid
2026-03-26 07:00:00+00:00,1,DOWN,140,0.505081458904807,266,0.49307020037282867,stop,-27.733272729723502,126,cross_above_mid
2026-03-26 07:05:00+00:00,1,DOWN,180,0.5053118065405046,299,0.4916576741518195,settlement,-30.96715957855896,119,cross_above_mid
2026-03-26 07:15:00+00:00,1,DOWN,140,0.5050310597823559,299,0.5014765259662325,settlement,-11.024171444068974,159,cross_above_mid
2026-03-26 08:05:00+00:00,1,UP,240,0.5048836947868686,299,0.49409910444585814,settlement,-25.317822840113507,59,cross_below_mid
2026-03-26 08:45:00+00:00,1,UP,180,0.5054521193114823,299,0.49975835839401195,settlement,-15.242159600351068,119,cross_below_mid
2026-03-26 09:40:00+00:00,1,DOWN,140,0.5052617023477189,299,0.4972117217314539,settlement,-19.90043460191574,159,cross_above_mid
2026-03-26 10:05:00+00:00,1,UP,140,0.5050605734455037,284,0.4930217050152148,stop,-27.788811332992953,144,cross_below_mid
2026-03-26 10:45:00+00:00,1,DOWN,240,0.5053569211759809,299,0.49776467778039923,settlement,-18.993480036166144,59,cross_above_mid
2026-03-26 11:05:00+00:00,1,DOWN,240,0.5050044845199716,299,0.49503473694228795,settlement,-23.702415300303727,59,cross_above_mid
2026-03-26 11:25:00+00:00,1,DOWN,140,0.5050810790323627,292,0.4930148214252257,stop,-27.841964373310276,152,cross_above_mid
2026-03-26 12:30:00+00:00,1,UP,140,0.5050753124573724,268,0.49306500537057885,stop,-27.73168154725748,128,cross_below_mid
