sample,strategy,total_pnl,trades,win_rate,profit_factor,avg_pnl,max_drawdown,raw_5m_sharpe
TRAIN,base,3401.1697182734097,350,1.0,inf,9.71762776649545,0.0,11.838743604441786
TRAIN,dual_exit,3401.1697182734097,350,1.0,inf,9.71762776649545,0.0,11.838743604441786
TEST,base,1454.4314563411172,150,1.0,inf,9.696209708940785,0.0,25.28946882973777
TEST,dual_exit,1454.4314563411172,150,1.0,inf,9.696209708940785,0.0,25.28946882973777
