window_start,scalp_num,side,entry_idx,entry_price,exit_idx,exit_price,exit_type,pnl,seconds_held,entry_reason
2026-03-26 07:05:00+00:00,1,UP,180,0.5046881934594954,299,0.4983423258481805,settlement,-16.548690375893642,119,cross_below_revert_up
2026-03-26 07:15:00+00:00,1,DOWN,180,0.5054046372465464,299,0.5014765259662325,settlement,-11.756666181598348,119,cross_above_revert_down
2026-03-26 07:30:00+00:00,1,UP,240,0.5051202927099202,299,0.49593178249132697,settlement,-22.154355171436883,59,cross_below_revert_up
2026-03-26 08:05:00+00:00,1,DOWN,240,0.5051163052131314,299,0.49590089555414185,settlement,-22.207645931744356,59,cross_above_revert_down
2026-03-26 08:45:00+00:00,1,DOWN,180,0.5045478806885177,299,0.49024164160598804,settlement,-32.297862603012156,119,cross_above_revert_down
2026-03-26 08:50:00+00:00,1,UP,240,0.5047127598746899,299,0.49277505889862255,settlement,-27.605160244161777,59,cross_below_revert_up
2026-03-26 09:20:00+00:00,1,DOWN,180,0.5050339485027608,299,0.49883128392099463,settlement,-16.257115132466865,119,cross_above_revert_down
2026-03-26 09:40:00+00:00,1,DOWN,180,0.5054751000551768,299,0.4972117217314539,settlement,-20.315050071062387,119,cross_above_revert_down
2026-03-26 10:45:00+00:00,1,UP,240,0.504643078824019,299,0.49223532221960076,settlement,-28.538018276334416,59,cross_below_revert_up
2026-03-26 11:05:00+00:00,1,UP,240,0.5049955154800284,299,0.494965263057712,settlement,-23.822338239888133,59,cross_below_revert_up
2026-03-26 13:15:00+00:00,1,DOWN,240,0.5052955055747493,299,0.49728896398987865,settlement,-19.81357525159877,59,cross_above_revert_down
2026-03-26 13:35:00+00:00,1,DOWN,240,0.504241804832063,299,0.48912725406908275,settlement,-33.91485734999331,59,cross_above_revert_down
2026-03-26 14:00:00+00:00,1,UP,240,0.505051826772756,299,0.49540144838892075,settlement,-23.06948379656284,59,cross_below_revert_up
2026-03-26 14:10:00+00:00,1,DOWN,180,0.5058801760438635,299,0.49829022509586673,settlement,-18.973449059296538,119,cross_above_revert_down
2026-03-26 14:45:00+00:00,1,DOWN,180,0.5059127712095112,299,0.5062329799392906,settlement,-3.368333178156621,119,cross_above_revert_down
2026-03-26 14:55:00+00:00,1,UP,180,0.5068894733322288,299,0.5048190580640229,settlement,-8.076380643863038,119,cross_below_revert_up
2026-03-26 15:35:00+00:00,1,UP,240,0.5047180882589365,299,0.49281633176596795,settlement,-27.533836524378405,59,cross_below_revert_up
2026-03-26 15:40:00+00:00,1,UP,240,0.5042392326270997,299,0.48910733198518586,settlement,-33.94934916497884,59,cross_below_revert_up
2026-03-26 16:15:00+00:00,1,UP,180,0.5054089730701774,299,0.505440157735326,settlement,-3.9384215606041453,119,cross_below_revert_up
2026-03-26 16:20:00+00:00,1,UP,180,0.5051133072366583,299,0.4966148882208561,settlement,-20.79112796328846,119,cross_below_revert_up
2026-03-26 16:25:00+00:00,1,DOWN,180,0.5064625741572492,299,0.510561383306943,settlement,4.076828851966438,119,cross_above_revert_down
2026-03-26 17:05:00+00:00,1,UP,240,0.5044870950144026,299,0.49102711963965273,settlement,-30.62715371067491,59,cross_below_revert_up
2026-03-26 17:15:00+00:00,1,DOWN,180,0.5047717633240247,299,0.48294004567183224,settlement,-47.16417002688372,119,cross_above_revert_down
2026-03-26 17:25:00+00:00,1,UP,180,0.5057959133436992,299,0.5105467885103638,settlement,5.374084074715368,119,cross_below_revert_up
2026-03-26 18:00:00+00:00,1,DOWN,180,0.5079858050063982,299,0.5228213958288263,settlement,25.146325536786765,119,cross_above_revert_down
2026-03-26 19:30:00+00:00,1,UP,240,0.5048824573899707,299,0.4940895196349899,settlement,-25.334375401265053,59,cross_below_revert_up
2026-03-26 20:15:00+00:00,1,UP,180,0.5054243570279997,299,0.4925726106881622,settlement,-29.376780261595645,119,cross_below_revert_up
2026-03-26 20:30:00+00:00,1,DOWN,180,0.5049003788047134,299,0.5049168731304129,settlement,-3.9673968613628854,119,cross_above_revert_down
2026-03-26 21:25:00+00:00,1,UP,180,0.5050155219416582,299,0.496355201461641,settlement,-21.11432513168504,119,cross_below_revert_up
2026-03-26 21:55:00+00:00,1,UP,180,0.5052858199869888,299,0.48900135493662233,settlement,-36.16376846016432,119,cross_below_revert_up
2026-03-26 22:20:00+00:00,1,DOWN,240,0.5085533041833327,299,0.522502319521477,settlement,23.373959018560363,59,cross_above_revert_down
