feature,importance
ret_60s,401
vol_30s,387
ob_imbalance,333
rsi,314
ret_from_open,303
fair_up,278
seconds_left,254
vol_10s,140
ret_30s,108
up_ratio,95
ema_cross,92
ret_10s,90
ret_5s,80
time_decay,70
fair_dev,55
up_spread,0
down_spread,0
avg_spread,0
