window_start,01 End-of-Window Momentum Sniper,02 Composite Technical Score,03 Oracle Lag Arbitrage,04 Volatility Spike Reversal,05 Market Making & Spread Capture,06 Double MA Crossover,07 RSI + Bollinger Reversion,08 Opening Range Breakout,09 Renko Change Sequencing,10 Volume Weighted Momentum,11 Creative Late Shock Continuation,12 Creative Wick Reclaim Fade,13 Creative Chop Box Contrarian,14 Creative Settlement Gravity
2026-03-26 03:05:00+00:00,10000.0,10493.611700605714,10000.0,10000.0,10000.0,10491.36415767361,9506.291866541942,10493.610645375544,10000.0,10493.611700605714,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:10:00+00:00,10000.0,10987.528767483891,10000.0,10000.0,10000.0,10982.518988953065,9012.64274555269,10987.527508813657,10000.0,10987.528767483891,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:15:00+00:00,10000.0,11480.851519714182,10000.0,10000.0,10000.0,11474.980941629214,9012.64274555269,11480.848399820956,10000.0,11480.851519714182,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:20:00+00:00,10000.0,11973.414203897264,10000.0,10000.0,10000.0,10973.15920436233,8520.67307728064,11973.407102658155,10491.447054663256,11973.414203897264,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:25:00+00:00,10000.0,12466.258780810276,10000.0,10000.0,10000.0,11464.643560115697,8520.67307728064,12466.248484530264,10984.210593474494,12466.258780810276,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:30:00+00:00,10000.0,12960.046037097822,10000.0,10000.0,10000.0,11957.12531269998,8520.67307728064,12960.035175283392,10984.210593474494,12960.046037097822,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:35:00+00:00,10000.0,13453.794425447682,10000.0,10000.0,10000.0,11452.269959668603,8520.67307728064,13453.782889680422,10984.210593474494,13453.794425447682,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:40:00+00:00,10000.0,12947.447949124286,10000.0,10000.0,10000.0,11945.692971164415,8520.67307728064,12947.435474788273,10984.210593474494,12947.447949124286,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:45:00+00:00,10000.0,13441.087682226416,10000.0,10000.0,10000.0,12438.38219857707,8520.67307728064,13441.074230854176,10984.210593474494,13441.087682226416,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:50:00+00:00,10000.0,12935.018654353094,10000.0,10000.0,10000.0,12929.968921600743,8026.640018944039,12935.005038328169,10984.210593474494,12935.018654353094,10000.0,10000.0,10000.0,10000.0
2026-03-26 03:55:00+00:00,10000.0,12428.865977358873,10000.0,10000.0,10000.0,13423.292206678803,8026.640018944039,12428.851963349944,10984.210593474494,12428.865977358873,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:00:00+00:00,10000.0,12922.44626331847,10000.0,10000.0,10000.0,13915.025623733709,7533.044522420698,12922.431106451264,10984.210593474494,12428.865977358873,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:05:00+00:00,10000.0,12416.318985878952,10000.0,10000.0,10000.0,14408.570962239928,7533.044522420698,12416.303501877399,10984.210593474494,11922.738699919357,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:10:00+00:00,10000.0,12909.535902471016,10000.0,10000.0,10000.0,13904.286078003272,7533.044522420698,12909.518262028898,10984.210593474494,12415.955616511419,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:15:00+00:00,10000.0,13403.20589257265,10000.0,10000.0,10000.0,13398.721878006148,7533.044522420698,13403.187359493291,10984.210593474494,12909.625606613054,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:20:00+00:00,10000.0,13896.637240914863,10000.0,10000.0,10000.0,12893.89909462323,7533.044522420698,13896.617149530404,10984.210593474494,13403.056954955266,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:25:00+00:00,10000.0,14390.561562578518,10000.0,10000.0,10000.0,12388.59139737381,7533.044522420698,14390.541287990536,10984.210593474494,13896.98127661892,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:30:00+00:00,10000.0,14883.823659155403,10000.0,10000.0,10000.0,11884.232921254237,7533.044522420698,14883.801354151721,10984.210593474494,14390.243373195808,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:35:00+00:00,10000.0,15377.54428705819,10000.0,10000.0,10000.0,11378.431090005479,7533.044522420698,15377.521230666558,10984.210593474494,14883.964001098593,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:40:00+00:00,10000.0,14871.39734574343,10000.0,10000.0,10000.0,11872.36071768629,7533.044522420698,14871.37390736693,10984.210593474494,14377.817059783833,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:45:00+00:00,10000.0,15365.27254625217,10000.0,10000.0,10000.0,12366.088542822323,7533.044522420698,15365.248787653327,10984.210593474494,14377.817059783833,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:50:00+00:00,10000.0,15859.21738300738,10000.0,10000.0,10000.0,11860.776005434791,7533.044522420698,15859.193498429922,10984.210593474494,14871.761896539043,10000.0,10000.0,10000.0,10000.0
2026-03-26 04:55:00+00:00,10000.0,15352.830114266482,10000.0,10000.0,10000.0,12354.74248801487,7533.044522420698,15352.805177333765,10984.210593474494,14365.374627798145,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:00:00+00:00,10000.0,15846.703090511648,10000.0,10000.0,10000.0,11849.140296588885,7533.044522420698,15846.677827152209,10984.210593474494,14859.24760404331,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:05:00+00:00,10000.0,16338.954708882413,10492.475538330282,9989.284191611994,10000.0,12339.863466873448,7533.044522420698,16338.92459650205,11476.978108695334,14859.24760404331,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:10:00+00:00,10000.0,16832.214292489814,10492.475538330282,9989.284191611994,10000.0,11834.392052275718,7533.044522420698,16832.18214268408,11476.978108695334,15352.50718765071,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:15:00+00:00,10000.0,17326.050475940778,10492.475538330282,9989.284191611994,10000.0,12328.15454794007,7533.044522420698,17326.017897078305,11476.978108695334,15846.343371101673,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:20:00+00:00,10000.0,17819.855461804545,10492.475538330282,9989.284191611994,10000.0,11822.228674638687,7533.044522420698,17819.822366862627,11476.978108695334,15846.343371101673,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:25:00+00:00,10000.0,18313.801218551675,10492.475538330282,9989.284191611994,10000.0,12315.902825069621,7533.044522420698,18313.768000197375,11476.978108695334,15846.343371101673,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:30:00+00:00,10000.0,17807.257047164396,10492.475538330282,9989.284191611994,10000.0,12809.393075878015,7533.044522420698,17807.222338790278,11476.978108695334,15339.799199714394,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:35:00+00:00,10000.0,18300.721289268735,10492.475538330282,9989.284191611994,10000.0,13301.581081438995,7533.044522420698,18300.685114343396,11476.978108695334,15833.263441818734,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:40:00+00:00,10000.0,18794.72629333925,10492.475538330282,9978.644917721274,9990.4994116994,13789.650592539696,7039.69171331749,17794.660068420446,11969.812457765818,15833.263441818734,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:45:00+00:00,10000.0,19287.006908834184,10492.475538330282,9978.644917721274,9990.4994116994,14279.99935561666,7039.69171331749,18286.935915777693,12462.462709793139,16325.544057313673,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:50:00+00:00,10000.0,19779.44836895702,10492.475538330282,9968.058409625006,9980.97602565615,14768.53539057306,6547.598726950642,18779.37305641627,12954.033452875803,16325.544057313673,10000.0,10000.0,10000.0,10000.0
2026-03-26 05:55:00+00:00,10000.0,20273.19561512822,10492.475538330282,9968.058409625006,9980.97602565615,15262.074593231784,6547.598726950642,19273.119625448642,12954.033452875803,16819.291303484875,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:00:00+00:00,10000.0,19767.053751008407,10492.475538330282,9968.058409625006,9980.97602565615,14756.511094732949,6547.598726950642,18766.977393506313,12954.033452875803,16819.291303484875,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:05:00+00:00,10000.0,20259.7225925247,10492.475538330282,9968.058409625006,9980.97602565615,15246.005662809996,6054.855214024663,19259.64254978908,13446.25667605081,17311.96014500117,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:10:00+00:00,10000.0,19753.587640723978,10492.475538330282,9968.058409625006,9980.97602565615,15738.25490508292,6054.855214024663,18753.507249447102,13446.25667605081,16805.825193200442,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:15:00+00:00,10000.0,20247.36605843406,10492.475538330282,9968.058409625006,9980.97602565615,16230.42912529105,6054.855214024663,19247.285076968394,13446.25667605081,17299.603610910526,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:20:00+00:00,10000.0,20740.140022396758,10492.475538330282,9968.058409625006,9980.97602565615,16719.879027010513,5562.316353670804,19740.05564892375,13938.274632081408,17792.377574873226,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:25:00+00:00,10000.0,21232.72472800983,10492.475538330282,9968.058409625006,9980.97602565615,17209.23659191271,5069.706551100816,20232.63643461687,14430.363743367821,18284.9622804863,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:30:00+00:00,10000.0,21726.693983757705,10492.475538330282,9968.058409625006,9980.97602565615,17702.089776781562,5069.706551100816,20726.605632500607,14430.363743367821,18284.9622804863,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:35:00+00:00,10000.0,22220.51153490848,10492.475538330282,9968.058409625006,9980.97602565615,17196.222978093785,5069.706551100816,21220.422702621607,14430.363743367821,18284.9622804863,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:40:00+00:00,10000.0,22713.983704228624,10492.475538330282,9968.058409625006,9980.97602565615,17689.28498479518,5069.706551100816,21713.893427502713,14430.363743367821,18778.434449806446,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:45:00+00:00,10000.0,22208.03131886365,10492.475538330282,9968.058409625006,9980.97602565615,18180.508065507784,4576.011138138657,22207.825652157102,14430.363743367821,18778.434449806446,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:50:00+00:00,10000.0,22701.82304956842,10492.475538330282,9968.058409625006,9980.97602565615,18673.955613940274,4576.011138138657,22701.616829808416,14430.363743367821,19272.226180511214,10000.0,10000.0,10000.0,10000.0
2026-03-26 06:55:00+00:00,10000.0,23195.39911764235,10492.475538330282,9968.058409625006,9980.97602565615,19166.492026812062,4576.011138138657,23195.191743258692,14430.363743367821,19272.226180511214,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:00:00+00:00,10000.0,23689.466071434766,10492.475538330282,9968.058409625006,9980.97602565615,19658.423490439418,4082.606283883054,22689.10457481093,14923.250293882451,19272.226180511214,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:05:00+00:00,10000.0,23182.888442587486,10492.475538330282,9968.058409625006,9980.97602565615,20151.802040659415,4082.606283883054,22182.525362617584,14923.250293882451,18765.648551663937,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:10:00+00:00,10000.0,22676.582471798007,10492.475538330282,9968.058409625006,9980.97602565615,20645.667527515885,4082.606283883054,21676.218566245647,14923.250293882451,18259.342580874458,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:15:00+00:00,10000.0,22170.60181380853,10492.475538330282,9968.058409625006,9980.97602565615,21138.47266585487,4082.606283883054,22170.179142388348,14923.250293882451,18259.342580874458,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:20:00+00:00,10000.0,22663.36954040084,10492.475538330282,9968.058409625006,9980.97602565615,20634.804746475722,3589.7599571264345,22662.94345957492,15415.576639638339,18752.110307466766,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:25:00+00:00,10000.0,23156.965366989047,10492.475538330282,9968.058409625006,9980.97602565615,20130.840343055825,3589.7599571264345,23156.538186653925,15908.111367042155,19245.70613405497,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:30:00+00:00,10000.0,22649.323928678696,10492.475538330282,9968.058409625006,9980.97602565615,20624.659883237422,3589.7599571264345,22648.892197625628,15908.111367042155,18738.064695744622,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:35:00+00:00,10000.0,23142.806650779443,10492.475538330282,9968.058409625006,9980.97602565615,21116.580448207933,3095.953416224016,23142.373504723277,15908.111367042155,19231.547417845366,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:40:00+00:00,10000.0,23636.243946192888,10492.475538330282,9968.058409625006,9980.97602565615,20611.32167450049,3095.953416224016,23635.809258420384,15908.111367042155,19724.984713258815,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:45:00+00:00,10000.0,24130.172944006474,10492.475538330282,9968.058409625006,9980.97602565615,20105.71783104154,3095.953416224016,24129.738086074125,15908.111367042155,20218.913711072397,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:50:00+00:00,10000.0,24623.95436003595,10492.475538330282,9968.058409625006,9980.97602565615,20597.629752628785,2601.9883010309877,24623.51892027834,15908.111367042155,20712.695127101877,10000.0,10000.0,10000.0,10000.0
2026-03-26 07:55:00+00:00,10000.0,25117.469086994002,10492.475538330282,9968.058409625006,9980.97602565615,21089.877610423377,2601.9883010309877,25117.03232150769,15908.111367042155,21206.209854059925,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:00:00+00:00,10000.0,25611.458841594576,10492.475538330282,9968.058409625006,9980.97602565615,21582.77662742179,2601.9883010309877,25611.022075423745,15908.111367042155,21206.209854059925,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:05:00+00:00,10000.0,25104.983406148,10492.475538330282,9968.058409625006,9980.97602565615,22076.601818053517,2601.9883010309877,25104.545341689474,15908.111367042155,21206.209854059925,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:10:00+00:00,10000.0,25598.407853300712,10492.475538330282,9968.058409625006,9980.97602565615,21573.19009093257,2109.0481922158815,25597.968211286905,16400.531776484335,21699.634301212638,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:15:00+00:00,10000.0,25092.353111030687,10492.475538330282,9968.058409625006,9980.97602565615,22064.536343434724,1615.5756135818647,25091.91334421254,16400.531776484335,21699.634301212638,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:20:00+00:00,10000.0,25585.39301735058,10492.475538330282,9968.058409625006,9980.97602565615,21559.81702916635,1615.5756135818647,25584.95060034072,16893.434321393008,22192.67420753253,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:25:00+00:00,10000.0,25079.215426408373,10492.475538330282,9968.058409625006,9980.97602565615,22053.352084576654,1615.5756135818647,25078.77254191941,16893.434321393008,22192.67420753253,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:30:00+00:00,10000.0,25572.741195586183,10492.475538330282,9968.058409625006,9980.97602565615,21548.6233445284,1615.5756135818647,25572.2970161697,16893.434321393008,22686.19997671034,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:35:00+00:00,10000.0,26066.580283196192,10492.475538330282,9968.058409625006,9980.97602565615,22041.649866743293,1615.5756135818647,26066.13568282385,16893.434321393008,23180.03906432035,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:40:00+00:00,10000.0,26560.064778209176,10492.475538330282,9968.058409625006,9980.97602565615,22532.766480751045,1122.0327266356417,26559.6187677791,16893.434321393008,23673.523559333335,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:45:00+00:00,10000.0,27053.211563101428,10492.475538330282,9968.058409625006,9980.97602565615,22027.626991620426,1122.0327266356417,27052.763200605827,16893.434321393008,23673.523559333335,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:50:00+00:00,10000.0,27546.87828900209,10492.475538330282,9968.058409625006,9980.97602565615,21522.02402290389,1122.0327266356417,27546.42902476407,16893.434321393008,23673.523559333335,10000.0,10000.0,10000.0,10000.0
2026-03-26 08:55:00+00:00,10000.0,28040.83131378132,10492.475538330282,9968.058409625006,9980.97602565615,22015.750145863167,1122.0327266356417,28040.38194640441,16893.434321393008,23673.523559333335,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:00:00+00:00,10000.0,28534.835942189788,10492.475538330282,9968.058409625006,9980.97602565615,22509.088047520974,1122.0327266356417,27534.35727719138,16893.434321393008,23673.523559333335,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:05:00+00:00,10000.0,29028.553123831392,10492.475538330282,9968.058409625006,9980.97602565615,22004.160037352172,1122.0327266356417,28028.073697832016,17386.314063325524,23673.523559333335,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:10:00+00:00,10000.0,29522.21836187748,10492.475538330282,9968.058409625006,9980.97602565615,22496.305741921955,1122.0327266356417,28521.73802998546,17386.314063325524,24167.188797379422,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:15:00+00:00,10000.0,30015.161785674787,10492.475538330282,9968.058409625006,9980.97602565615,21991.650769018343,1122.0327266356417,29014.678534463845,17878.761150330218,24660.132221176726,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:20:00+00:00,10000.0,29508.67251361989,10492.475538330282,9968.058409625006,9980.97602565615,22484.93986607368,1122.0327266356417,28508.18792552539,17878.761150330218,24153.642949121833,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:25:00+00:00,10000.0,30002.07472075203,10492.475538330282,9968.058409625006,9980.97602565615,21980.84144193212,1122.0327266356417,29001.58849306594,18371.69653446987,24647.045156253975,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:30:00+00:00,10000.0,30492.356025400644,10984.185962600935,9957.57843866837,9971.83986542963,22461.445800463785,633.389100898743,29491.859452956687,18859.80755848225,25137.326460902586,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:35:00+00:00,10000.0,30986.14528818751,10984.185962600935,9957.57843866837,9971.83986542963,22952.525742514572,139.9297516059578,29985.648155806073,18859.80755848225,25631.11572368945,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:40:00+00:00,10000.0,31479.888059375226,10984.185962600935,9957.57843866837,9971.83986542963,22446.920355419163,139.9297516059578,30479.390237372423,18859.80755848225,25631.11572368945,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:45:00+00:00,10000.0,31973.311431276732,10984.185962600935,9957.57843866837,9971.83986542963,22938.322961390233,139.9297516059578,30972.812028719345,18859.80755848225,26124.53909559096,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:50:00+00:00,10000.0,32466.60710345676,10984.185962600935,9957.57843866837,9971.83986542963,23429.736786356953,-353.37160670582307,31466.105764139356,19352.59030225443,26617.83476777099,10000.0,10000.0,10000.0,10000.0
2026-03-26 09:55:00+00:00,10000.0,31960.437672901455,10984.185962600935,9957.57843866837,9971.83986542963,23922.978838151554,-353.37160670582307,30959.935888867574,19352.59030225443,26111.665337215683,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:00:00+00:00,10000.0,32454.18779941686,10984.185962600935,9957.57843866837,9971.83986542963,23417.90781238931,-353.37160670582307,31453.685346278595,19352.59030225443,26605.41546373109,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:05:00+00:00,10000.0,32948.23502282737,10984.185962600935,9957.57843866837,9971.83986542963,23910.450177751067,-353.37160670582307,30947.61796324878,19352.59030225443,26605.41546373109,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:10:00+00:00,10000.0,33441.630364617115,10984.185962600935,9957.57843866837,9971.83986542963,24403.025356105565,-353.37160670582307,31441.011646296756,19352.59030225443,27098.810805520836,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:15:00+00:00,10000.0,33935.44599018436,10984.185962600935,9957.57843866837,9971.83986542963,24896.360481753192,-353.37160670582307,31934.826785462992,19352.59030225443,27098.810805520836,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:20:00+00:00,10000.0,34428.963673449616,10984.185962600935,9957.57843866837,9971.83986542963,25389.36375189283,-353.37160670582307,32428.343151245874,19352.59030225443,27098.810805520836,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:25:00+00:00,10000.0,33922.88714890772,10984.185962600935,9957.57843866837,9971.83986542963,25882.63347197155,-353.37160670582307,31922.266441140044,19352.59030225443,26592.73428097894,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:30:00+00:00,10000.0,33416.638385486964,10984.185962600935,9957.57843866837,9971.83986542963,26376.489717620807,-353.37160670582307,31416.017011711316,19352.59030225443,26086.48551755818,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:35:00+00:00,10000.0,33910.56699028253,10984.185962600935,9957.57843866837,9971.83986542963,26867.596920471286,-847.4455789576823,31909.945445250756,19352.59030225443,26580.41412235375,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:40:00+00:00,10000.0,33404.50765114551,10984.185962600935,9957.57843866837,9971.83986542963,26361.752010271397,-847.4455789576823,31403.885968486862,19352.59030225443,26580.41412235375,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:45:00+00:00,10000.0,33897.7652248502,10984.185962600935,9957.57843866837,9971.83986542963,25856.24778249723,-847.4455789576823,31897.141499159763,19352.59030225443,27073.671696058438,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:50:00+00:00,10000.0,34391.66544806608,10984.185962600935,9957.57843866837,9971.83986542963,26348.441813028076,-847.4455789576823,32391.041471951776,19352.59030225443,27567.57191927432,10000.0,10000.0,10000.0,10000.0
2026-03-26 10:55:00+00:00,10000.0,33885.29143169574,10984.185962600935,9957.57843866837,9971.83986542963,26842.051436130743,-847.4455789576823,31884.666440192384,19352.59030225443,27061.197902903983,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:00:00+00:00,10000.0,34378.3354295485,10984.185962600935,9957.57843866837,9971.83986542963,26339.468166640305,-1339.984582338935,32377.70779926631,19844.608401741934,27554.24190075674,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:05:00+00:00,10000.0,34871.45255701582,10984.185962600935,9957.57843866837,9971.83986542963,25833.46452139341,-1339.984582338935,32870.82249194191,20337.93972368137,28047.359028224066,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:10:00+00:00,10000.0,35364.77773547429,10984.185962600935,9957.57843866837,9971.83986542963,26326.305516495653,-1339.984582338935,33364.14581594509,20337.93972368137,28540.684206682527,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:15:00+00:00,10000.0,35858.33204707995,10984.185962600935,9957.57843866837,9971.83986542963,25821.158818136893,-1339.984582338935,33857.698912239546,20337.93972368137,28540.684206682527,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:20:00+00:00,10000.0,36351.88142048402,10984.185962600935,9957.57843866837,9971.83986542963,26311.914728839925,-1339.984582338935,34351.247056557775,20337.93972368137,29034.23358008659,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:25:00+00:00,10000.0,36845.948015412956,10984.185962600935,9957.57843866837,9971.83986542963,26804.877533639657,-1339.984582338935,33845.160247974505,20337.93972368137,29034.23358008659,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:30:00+00:00,10000.0,37339.1327591411,10984.185962600935,9957.57843866837,9971.83986542963,26300.70999916916,-1339.984582338935,34338.34274551927,20830.80330616418,29527.418323814738,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:35:00+00:00,10000.0,37832.478878490554,10984.185962600935,9957.57843866837,9971.83986542963,26792.154461384267,-1833.4388879067883,34831.68706882592,21323.739456493495,30020.76444316419,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:40:00+00:00,10000.0,38326.23785739953,10984.185962600935,9957.57843866837,9971.83986542963,27284.74024689657,-1833.4388879067883,35325.44540332343,21323.739456493495,30514.523422073165,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:45:00+00:00,10000.0,37820.09033971302,10984.185962600935,9957.57843866837,9971.83986542963,27777.27238167132,-1833.4388879067883,34819.29750204432,21323.739456493495,30008.375904386656,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:50:00+00:00,10000.0,38313.86421497633,10984.185962600935,9957.57843866837,9971.83986542963,28270.1499867399,-1833.4388879067883,35313.07077444812,21323.739456493495,30502.149779649968,10000.0,10000.0,10000.0,10000.0
2026-03-26 11:55:00+00:00,10000.0,38806.912725570466,10984.185962600935,9957.57843866837,9971.83986542963,28761.63099477605,-1833.4388879067883,35806.11665885121,21816.660601887845,30995.198290244105,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:00:00+00:00,10000.0,39299.8122924754,10984.185962600935,9957.57843866837,9971.83986542963,28258.417480243428,-2326.4315261506963,36299.01318410343,22309.133698504855,31488.097857149034,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:05:00+00:00,10000.0,39792.91496168757,10984.185962600935,9957.57843866837,9971.83986542963,27755.35984047657,-2819.425845743446,36792.11337819413,22801.60848151981,31981.200526361208,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:10:00+00:00,10000.0,40286.64885669138,10984.185962600935,9957.57843866837,9971.83986542963,28248.751364286138,-2819.425845743446,37285.84655881731,22801.60848151981,32474.93442136502,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:15:00+00:00,10000.0,39780.663276767154,10984.185962600935,9957.57843866837,9971.83986542963,27743.35388263003,-2819.425845743446,37779.81207062404,22801.60848151981,32474.93442136502,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:20:00+00:00,10000.0,40274.623895895216,10984.185962600935,9957.57843866837,9971.83986542963,28236.76503141808,-2819.425845743446,38273.77260779693,22801.60848151981,32968.89504049308,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:25:00+00:00,10000.0,40768.396060183215,10984.185962600935,9957.57843866837,9971.83986542963,28729.05665459224,-2819.425845743446,38767.54416445281,22801.60848151981,33462.66720478108,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:30:00+00:00,10000.0,41262.45720745955,10984.185962600935,9957.57843866837,9971.83986542963,29221.04420434802,-3313.7458689773375,38261.46281871786,22801.60848151981,33462.66720478108,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:35:00+00:00,10000.0,41755.67161635391,10984.185962600935,9957.57843866837,9971.83986542963,29712.29166123326,-3806.9791268331337,38754.67506417669,23294.322920330123,33955.88161367543,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:40:00+00:00,10000.0,42249.185695863365,10984.185962600935,9957.57843866837,9971.83986542963,29208.077135357576,-3806.9791268331337,39248.187816151454,23787.06079399563,34449.395693184895,10000.0,10000.0,10000.0,10000.0
2026-03-26 12:45:00+00:00,10000.0,41743.0334324957,10984.185962600935,9957.57843866837,9971.83986542963,28702.15669121399,-3806.9791268331337,38742.03515595356,23787.06079399563,33943.24342981723,10000.0,10000.0,10000.0,10000.0
