sample,strategy,total_pnl,trades,win_rate,profit_factor,avg_pnl,max_drawdown,raw_5m_sharpe,sold_99,sold_98,settled,timed_stop,trailing_stop,avg_entry_price
TRAIN,base_9799,13293.273072240456,1400,0.9885714285714285,83.91712245658975,9.495195051600335,-0.0009319871540758307,3.1837771110238116,0,0,1400,0,0,0.5065619957547862
TRAIN,bracket_9798_99,13293.273072240456,1400,0.9885714285714285,83.91712245658975,9.495195051600335,-0.0009319871540758307,3.1837771110238116,0,0,1400,0,0,0.5065619957547862
TRAIN,timed_exit_9799,0.008554042688047048,1400,0.020714285714285713,1.0000314292174173,6.110030491349252e-06,-0.01197396028456954,0.00015736613874010926,0,0,29,1371,0,0.5065619957547862
TRAIN,trailing_9799,6659.909667739623,1400,0.5071428571428571,25.59714838434572,4.757078334099729,-0.0007721692287949722,0.9160358971831485,0,0,721,0,679,0.5065619957547862
TRAIN,combo_bracket_timed,0.008554042688047048,1400,0.020714285714285713,1.0000314292174173,6.110030491349252e-06,-0.01197396028456954,0.00015736613874010926,0,0,29,1371,0,0.5065619957547862
TEST,base_9799,4472.883397175592,600,0.8866666666666667,7.564640420887036,7.454805661959319,-0.0024152405259875165,1.1709378951166887,0,0,600,0,0,0.5072132118153928
TEST,bracket_9798_99,4472.883397175592,600,0.8866666666666667,7.564640420887036,7.454805661959319,-0.0024152405259875165,1.1709378951166887,0,0,600,0,0,0.5072132118153928
TEST,timed_exit_9799,165.70075510616516,600,0.04833333333333333,2.5311983497505697,0.27616792517694244,-0.0017833691803744722,0.1339094243208321,0,0,29,571,0,0.5072132118153928
TEST,trailing_9799,964.4230358105051,600,0.26,2.73226264466583,1.6073717263508438,-0.004523334608114049,0.29083339819628345,0,0,202,0,398,0.5072132118153928
TEST,combo_bracket_timed,165.70075510616516,600,0.04833333333333333,2.5311983497505697,0.27616792517694244,-0.0017833691803744722,0.1339094243208321,0,0,29,571,0,0.5072132118153928
