threshold,total_pnl,trades,win_rate,profit_factor,sharpe,max_drawdown,avg_stake,avg_confidence
0.62,281031.6357424635,2563,0.5462348809988294,1.1916354956285848,20.14885057583683,-0.2285636743810885,1272.0942713947857,0.6544652743766728
0.64,225671.89634526748,1424,0.5674157303370787,1.2865816302229198,20.56959516996261,-0.29801605573625267,1283.2563034693158,0.6739907564163179
0.66,155885.51548046572,843,0.5788849347568209,1.3446627117203185,18.276829714534607,-0.30129496857479654,1276.8266355337896,0.6913736853604961
0.6,153514.23468228985,3609,0.514824050983652,1.067772098216383,14.361452948387575,-0.3059526603863866,1315.380465040783,0.6420507286721044
0.68,116920.64705981096,483,0.6107660455486542,1.4878263555236393,19.139144238912998,-0.20787207250641337,1253.960751217176,0.7070891467964988
0.58,87264.86861051702,4566,0.5063512921594393,1.0287564980057198,10.958429312071095,-0.5548235844264562,1366.1460329169536,0.6312604446083735
0.7,26563.85726103616,191,0.5549738219895288,1.2367146840669805,7.282914114111362,-0.4805497811078777,1333.402970228335,0.7333402970228334
0.72,17827.872082120346,95,0.5684210526315789,1.3074761504354155,6.354604035348748,-0.5559970572430402,1430.1789846601737,0.7601500385682827
0.56,16120.067929817138,5301,0.5006602527824938,1.0043262098359442,3.997143758868621,-1.0572454809920215,1427.1726335987862,0.6226519862611554
0.74,13056.385161617945,51,0.5882352941176471,1.4138684893430968,5.760855869512187,-0.4322081176240694,1517.5130730576545,0.7848511329983301
0.76,8961.733058137379,36,0.5833333333333334,1.4114955004309409,4.749738305099221,-0.538110730318092,1482.8471862931492,0.7986277749034519
0.82,6047.040070446852,11,0.7272727272727273,2.690478951318194,6.680755646115879,-0.09872841743545024,1223.9025760285497,0.8334341545617129
0.54,5913.999251896501,5695,0.5014925373134328,1.0013975636871868,3.39976261581919,-1.210110610786392,1506.397767544708,0.6176476576901886
0.8,5769.147711305279,16,0.625,1.6984426626530473,4.616097563890883,-0.3220711541963859,1416.7673590041447,0.8277844906002763
0.78,5293.418686933885,25,0.56,1.355016363484086,3.8148273762134894,-0.5323974561290805,1426.8536491808688,0.8113026009399305
0.52,-28527.394938686222,6011,0.4999168191648644,0.9939402453426124,2.4650915525766064,-1.6627891248134024,1581.7364723284752,0.613077835572556
0.5,-78242.54764788722,6274,0.49744979279566465,0.9848294389501572,-1.7702457372005378,-2.939377533725637,1652.523632801028,0.608758980789088
