window_start,pattern,side,entry_idx,entry_price,exit_price,exit_type,pnl,outcome
2026-03-26 03:05:00+00:00,trend_up,UP,150,0.5054135790530045,1.0,settlement,972.6204719508262,1
2026-03-26 03:15:00+00:00,trend_down,DOWN,150,0.5057294742933564,1.0,settlement,971.387059147544,1
2026-03-26 03:25:00+00:00,chop_up_first,DOWN,150,0.5062522432952595,1.0,settlement,969.3492892473769,1
2026-03-26 04:00:00+00:00,chop_up_first,DOWN,150,0.505447923381631,1.0,settlement,972.4862998407746,1
2026-03-26 04:10:00+00:00,trend_down,DOWN,150,0.505845179977184,1.0,settlement,970.9356718295003,1
2026-03-26 04:20:00+00:00,trend_up,UP,150,0.505610750688298,1.0,settlement,971.8504346305983,1
2026-03-26 04:30:00+00:00,trend_down,DOWN,150,0.5057957865877418,1.0,settlement,971.1283384798897,1
2026-03-26 04:45:00+00:00,trend_down,DOWN,150,0.5051255055304965,1.0,settlement,973.7465997522206,1
2026-03-26 05:05:00+00:00,chop_up_first,DOWN,150,0.5069004994643729,1.0,settlement,966.8282040648171,1
2026-03-26 05:20:00+00:00,chop_up_first,DOWN,150,0.5052022682937075,1.0,settlement,973.4463956994678,1
2026-03-26 05:25:00+00:00,trend_down,DOWN,150,0.5049516306834231,0.0,settlement,-1002.0,0
2026-03-26 05:40:00+00:00,trend_up,UP,150,0.5050164033290884,0.0,settlement,-1002.0,0
2026-03-26 05:45:00+00:00,chop_down_first,UP,150,0.5068687981680171,1.0,settlement,966.9513412683622,1
2026-03-26 05:50:00+00:00,chop_up_first,DOWN,150,0.5066929536879037,1.0,settlement,967.6346529711477,1
2026-03-26 06:00:00+00:00,chop_up_first,DOWN,150,0.5048558384177937,1.0,settlement,974.801938406236,1
2026-03-26 06:05:00+00:00,chop_down_first,UP,150,0.5064443673454772,1.0,settlement,968.6014408473068,1
2026-03-26 06:20:00+00:00,chop_up_first,DOWN,150,0.5063294414429366,1.0,settlement,969.0487250275269,1
2026-03-26 06:25:00+00:00,chop_down_first,UP,150,0.506536349538047,1.0,settlement,968.2435983323998,1
2026-03-26 06:35:00+00:00,chop_up_first,DOWN,150,0.5051885311859302,1.0,settlement,973.5001121209041,1
2026-03-26 06:55:00+00:00,chop_up_first,DOWN,150,0.5054525346209083,1.0,settlement,972.4682866186525,1
2026-03-26 07:00:00+00:00,chop_up_first,DOWN,150,0.5050841303950859,0.0,settlement,-1002.0,0
2026-03-26 07:05:00+00:00,chop_up_first,DOWN,150,0.5056205650759463,0.0,settlement,-1002.0,0
2026-03-26 07:15:00+00:00,trend_down,DOWN,150,0.5050320784052781,1.0,settlement,974.1120979707849,1
2026-03-26 07:30:00+00:00,trend_down,DOWN,150,0.5067835829693125,0.0,settlement,-1002.0,0
