sample,strategy,total_pnl,trades,win_rate,profit_factor,avg_profit_per_trade,max_drawdown,raw_5m_sharpe,avg_entry_price,avg_one_loss_wipes_out_wins
TRAIN,CHEAP_LEADER_PULLBACK,32201.281203922576,5182,0.8363566190659977,4.797320896688974,6.21406430025521,-0.0032673700419044716,0.6732402268225789,0.5157846804943481,1.065200114306274
TRAIN,LIVE_PRIORITY_PORTFOLIO,26827.584963290756,6132,0.7411937377690803,2.690459039904897,4.375013855722556,-0.004236686196857908,0.4690335575000879,0.5155402126042928,1.0641576397204677
TRAIN,LIVE_ORB,26504.344941878415,6079,0.7404178318802435,2.6796162827552843,4.3599843628686274,-0.004242327887413078,0.4654729732467843,0.5155397866538806,1.064155820962744
TRAIN,CONSENSUS_2_OF_3,19796.50571568952,3314,0.824381412190706,4.4014614631768945,5.973598586508608,-0.0043158948103471095,0.47256431255478387,0.5159828004416589,1.0660504132334359
TRAIN,LIVE_VWM,14418.855245534112,2739,0.7871485943775101,3.4732170232477038,5.264277198077441,-0.005233665710224322,0.37462439826467475,0.5156190717872254,1.0644937887229153
TRAIN,LIVE_RENKO,13248.444247561372,1617,0.9400123685837971,14.6581899459396,8.193224642895123,-0.0020459805566178657,0.4813491758865609,0.5166495709906659,1.068900981625508
TRAIN,OPEN_FLIP_VALUE,2533.751462224285,664,0.7123493975903614,2.3265714461907248,3.815890756361874,-0.0068989696821109,0.13063843321957735,0.515568134147497,1.0642748612896897
TEST,CHEAP_LEADER_PULLBACK,12689.524327764582,2153,0.8197863446353925,4.2704959607640705,5.893880319444772,-0.003862648417427117,0.63477674217873,0.5157508118767687,1.06505562379321
TEST,LIVE_PRIORITY_PORTFOLIO,10759.47523555737,2615,0.7277246653919694,2.511162252185024,4.114522078607026,-0.006042107325646695,0.46247809388021294,0.5155191269782216,1.064067625952992
TEST,LIVE_ORB,10498.839592826484,2579,0.7254749903063202,2.4828869481393343,4.070895538125819,-0.006042107325646695,0.45282801873709194,0.5155186686579454,1.0640656759836473
TEST,CONSENSUS_2_OF_3,7688.672516899704,1326,0.8152337858220211,4.138233680367227,5.798395563272781,-0.00498280765095227,0.4670095937770291,0.5159317586433959,1.0658317497792196
TEST,LIVE_VWM,5548.215121597637,1082,0.7800369685767098,3.3311828242006865,5.127740408130901,-0.006055590642328523,0.36149892695235203,0.5155808305035726,1.0643305276646966
TEST,LIVE_RENKO,4983.25099192038,638,0.9200626959247649,10.771080376314478,7.810738231850132,-0.0019252918870683589,0.4365728638097734,0.5165405734512531,1.0684339703883257
TEST,OPEN_FLIP_VALUE,1297.873167697886,328,0.7195121951219512,2.4107317040194407,3.9569303893228223,-0.005906123514471728,0.1449449444876286,0.5155120537283242,1.0640350142865012
