window_start,LIVE_ORB,LIVE_VWM,LIVE_RENKO,CONSENSUS_2_OF_3,CHEAP_LEADER_PULLBACK,OPEN_FLIP_VALUE,LIVE_PRIORITY_PORTFOLIO
2026-03-26 03:05:00+00:00,10009.403251287311,10009.403251287311,10000.0,10009.403251287311,10009.401894723793,10000.0,10009.403251287311
2026-03-26 03:10:00+00:00,10018.817975380542,10018.817983033536,10000.0,10018.817975380542,10018.787121875144,10000.0,10018.817975380542
2026-03-26 03:15:00+00:00,10028.210375946348,10028.210383599342,10000.0,10028.210375946348,10028.177132526953,10000.0,10028.210375946348
2026-03-26 03:20:00+00:00,10037.574291952022,10037.574299605016,10009.322257534075,10037.532633480421,10037.535951985974,10000.0,10037.574291952022
2026-03-26 03:25:00+00:00,10046.948762494707,10046.948770147701,10018.69369269599,10046.904068642338,10046.906327863024,10000.0,10046.948762494707
2026-03-26 03:30:00+00:00,10056.358612261194,10056.358619914188,10018.69369269599,10056.313918408825,10056.283755733799,10000.0,10056.358612261194
2026-03-26 03:35:00+00:00,10065.766975404873,10065.767008393992,10018.69369269599,10065.722281552504,10065.67296627843,10000.0,10065.766975404873
2026-03-26 03:40:00+00:00,10055.766975404873,10055.767008393992,10018.69369269599,10055.722281552504,10055.67296627843,10000.0,10055.766975404873
2026-03-26 03:45:00+00:00,10065.171243312945,10065.171313016619,10018.69369269599,10065.126549460574,10065.076014717788,10000.0,10065.171243312945
2026-03-26 03:50:00+00:00,10055.171243312945,10055.171313016619,10018.69369269599,10055.126549460574,10074.47569494684,10000.0,10055.171243312945
2026-03-26 03:55:00+00:00,10045.171243312945,10045.171313016619,10018.69369269599,10045.126549460574,10074.47569494684,10000.0,10045.171243312945
2026-03-26 04:00:00+00:00,10054.573314314819,10045.171313016619,10018.69369269599,10045.126549460574,10083.876296921128,10000.0,10054.573314314819
2026-03-26 04:05:00+00:00,10044.573314314819,10035.171313016619,10018.69369269599,10035.126549460574,10083.876296921128,10000.0,10044.573314314819
2026-03-26 04:10:00+00:00,10053.96174352837,10044.55974223017,10018.69369269599,10044.514978674126,10093.26195833303,10000.0,10053.96174352837
2026-03-26 04:15:00+00:00,10063.367151654504,10053.965183903296,10018.69369269599,10053.920386800259,10102.66625219441,10000.0,10063.367151654504
2026-03-26 04:20:00+00:00,10072.76362884742,10063.361661096213,10018.69369269599,10063.316863993176,10112.060727555234,10000.0,10072.76362884742
2026-03-26 04:25:00+00:00,10082.17862661567,10072.776665756393,10018.69369269599,10072.731861761426,10121.462904621425,10000.0,10082.17862661567
2026-03-26 04:30:00+00:00,10091.568750953635,10082.16679009436,10018.69369269599,10082.12198609939,10130.850422433765,10000.0,10091.568750953635
2026-03-26 04:35:00+00:00,10100.97609588086,10091.574135021583,10018.69369269599,10091.529331026615,10130.850422433765,10000.0,10100.97609588086
2026-03-26 04:40:00+00:00,10090.97609588086,10081.574135021583,10018.69369269599,10081.529331026615,10130.850422433765,10000.0,10090.97609588086
2026-03-26 04:45:00+00:00,10100.38925282805,10081.574135021583,10018.69369269599,10081.529331026615,10130.850422433765,10000.0,10100.38925282805
2026-03-26 04:50:00+00:00,10109.805024536628,10090.989911469725,10018.69369269599,10090.945102735193,10140.25320869254,10000.0,10109.805024536628
2026-03-26 04:55:00+00:00,10099.805024536628,10080.989911469725,10018.69369269599,10080.945102735193,10130.25320869254,10000.0,10099.805024536628
2026-03-26 05:00:00+00:00,10109.218097825527,10090.402984758626,10018.69369269599,10090.358176024092,10139.650764161222,10000.0,10109.218097825527
2026-03-26 05:05:00+00:00,10118.570380343186,10090.402984758626,10028.065276776979,10099.729760105081,10148.996847228202,10000.0,10118.570380343186
2026-03-26 05:10:00+00:00,10127.960333939795,10099.793014803783,10028.065276776979,10109.11971370169,10158.384261775796,10000.0,10127.960333939795
2026-03-26 05:15:00+00:00,10137.372007359314,10109.204704358463,10028.065276776979,10118.53138712121,10158.384261775796,10000.0,10137.372007359314
2026-03-26 05:20:00+00:00,10146.782523763542,10109.204704358463,10028.065276776979,10118.53138712121,10158.384261775796,10000.0,10146.782523763542
2026-03-26 05:25:00+00:00,10156.198330180641,10109.204704358463,10028.065276776979,10118.53138712121,10158.384261775796,10000.0,10156.198330180641
2026-03-26 05:30:00+00:00,10146.198330180641,10099.204704358463,10028.065276776979,10108.53138712121,10148.384261775796,10000.0,10146.198330180641
2026-03-26 05:35:00+00:00,10155.595987450326,10108.602416699952,10028.065276776979,10117.929044390894,10157.780089902784,10000.0,10155.595987450326
2026-03-26 05:40:00+00:00,10164.969893330446,10108.602416699952,10037.43936417092,10127.302950271014,10167.154177296723,10009.37408739394,10164.969893330446
2026-03-26 05:45:00+00:00,10174.323259714924,10117.955783084428,10046.806557632197,10136.670143732292,10176.50144692384,10009.37408739394,10174.323259714924
2026-03-26 05:50:00+00:00,10183.682640423362,10117.955783084428,10056.133424951053,10145.997011051148,10185.855300946088,10009.37408739394,10183.682640423362
2026-03-26 05:55:00+00:00,10193.090985964918,10127.364128625984,10056.133424951053,10155.405356592702,10185.855300946088,10009.37408739394,10193.090985964918
2026-03-26 06:00:00+00:00,10183.090985964918,10127.364128625984,10056.133424951053,10155.405356592702,10185.855300946088,10009.37408739394,10183.090985964918
2026-03-26 06:05:00+00:00,10192.458875329208,10136.732017990274,10065.48464621867,10164.75657786032,10195.218470790305,10009.37408739394,10192.458875329208
