sample,strategy,total_pnl,trades,win_rate,profit_factor,avg_pnl,max_drawdown,raw_5m_sharpe,sold_99,settled,avg_entry_price,avg_entry_seconds_left
TRAIN,leader_97_to_99,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TRAIN,late_limit_97_to_99,49068.819726145906,6274,0.9040484539368824,9.134697337243317,7.820978598365504,-0.0012196353939710747,1.12933224152511,0,6274,0.5066158073794719,30.0
TRAIN,fixed_97_to_99,-4391.253195876399,6274,0.9040484539368824,0.27201192368149335,-0.6999128460115213,-0.4579639543252214,-0.23101161980018342,0,6274,0.9700000000000001,30.0
TEST,leader_97_to_99,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TEST,late_limit_97_to_99,19331.472055381717,2690,0.8717472118959108,6.5921409515409275,7.186420838431908,-0.0019660781570497443,0.9967827916801715,0,2690,0.5064990831759497,30.0
TEST,fixed_97_to_99,-2778.542268041365,2690,0.8717472118959108,0.19623296362601306,-1.0329153412792695,-0.27787511631365835,-0.29905970380146646,0,2690,0.9699999999999999,30.0
