sample,strategy,variant,momentum_bps,entry_cap,entry_window_seconds,slippage_cents,momentum_lookback_seconds,total_pnl,trades,signals,fill_rate,win_rate,profit_factor,avg_entry_price,avg_pnl,max_drawdown,raw_5m_sharpe
TRAIN,follow_mom0bps_cap0.55_win60s_slip0.00c,follow,0.0,0.55,60,0.0,10,-1025.0205940593987,3954,3954,1.0,0.4929185634800202,0.9489788207097325,0.505,-0.25923636673227224,-0.13892208644418635,-0.019925371537446043
TRAIN,follow_mom0bps_cap0.55_win60s_slip1.00c,follow,0.0,0.55,60,1.0,10,-1774.419805825255,3954,3954,1.0,0.4929185634800202,0.9116769052505839,0.5149999999999999,-0.44876575766951005,-0.2025312586365431,-0.03541012153340956
TRAIN,follow_mom0bps_cap0.55_win60s_slip2.00c,follow,0.0,0.55,60,2.0,10,-2495.270476190559,3954,3954,1.0,0.4929185634800202,0.8757960151422604,0.5250000000000001,-0.6310749813329475,-0.26644371702086,-0.05077423526126835
TRAIN,follow_mom0bps_cap0.55_win60s_slip5.00c,follow,0.0,0.55,60,5.0,10,0.0,0,3954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAIN,follow_mom0bps_cap0.57_win5s_slip0.00c,follow,0.0,0.57,5,0.0,10,-1025.0205940593987,3954,3954,1.0,0.4929185634800202,0.9489788207097325,0.505,-0.25923636673227224,-0.13892208644418635,-0.019925371537446043
TRAIN,follow_mom0bps_cap0.57_win5s_slip1.00c,follow,0.0,0.57,5,1.0,10,-1774.419805825255,3954,3954,1.0,0.4929185634800202,0.9116769052505839,0.5149999999999999,-0.44876575766951005,-0.2025312586365431,-0.03541012153340956
TRAIN,follow_mom0bps_cap0.57_win5s_slip2.00c,follow,0.0,0.57,5,2.0,10,-2495.270476190559,3954,3954,1.0,0.4929185634800202,0.8757960151422604,0.5250000000000001,-0.6310749813329475,-0.26644371702086,-0.05077423526126835
TRAIN,follow_mom0bps_cap0.57_win5s_slip5.00c,follow,0.0,0.57,5,5.0,10,-4501.962882882733,3954,3954,1.0,0.4929185634800202,0.7759113751109807,0.5549999999999999,-1.138584441801438,-0.45085263317891666,-0.09551846239556991
TRAIN,follow_mom0bps_cap0.57_win10s_slip0.00c,follow,0.0,0.57,10,0.0,10,-1025.0205940593987,3954,3954,1.0,0.4929185634800202,0.9489788207097325,0.505,-0.25923636673227224,-0.13892208644418635,-0.019925371537446043
TRAIN,follow_mom0bps_cap0.57_win10s_slip1.00c,follow,0.0,0.57,10,1.0,10,-1774.419805825255,3954,3954,1.0,0.4929185634800202,0.9116769052505839,0.5149999999999999,-0.44876575766951005,-0.2025312586365431,-0.03541012153340956
TRAIN,follow_mom0bps_cap0.57_win10s_slip2.00c,follow,0.0,0.57,10,2.0,10,-2495.270476190559,3954,3954,1.0,0.4929185634800202,0.8757960151422604,0.5250000000000001,-0.6310749813329475,-0.26644371702086,-0.05077423526126835
TRAIN,follow_mom0bps_cap0.57_win10s_slip5.00c,follow,0.0,0.57,10,5.0,10,-4501.962882882733,3954,3954,1.0,0.4929185634800202,0.7759113751109807,0.5549999999999999,-1.138584441801438,-0.45085263317891666,-0.09551846239556991
TRAIN,follow_mom0bps_cap0.57_win20s_slip0.00c,follow,0.0,0.57,20,0.0,10,-1025.0205940593987,3954,3954,1.0,0.4929185634800202,0.9489788207097325,0.505,-0.25923636673227224,-0.13892208644418635,-0.019925371537446043
TRAIN,follow_mom0bps_cap0.57_win20s_slip1.00c,follow,0.0,0.57,20,1.0,10,-1774.419805825255,3954,3954,1.0,0.4929185634800202,0.9116769052505839,0.5149999999999999,-0.44876575766951005,-0.2025312586365431,-0.03541012153340956
TRAIN,follow_mom0bps_cap0.57_win20s_slip2.00c,follow,0.0,0.57,20,2.0,10,-2495.270476190559,3954,3954,1.0,0.4929185634800202,0.8757960151422604,0.5250000000000001,-0.6310749813329475,-0.26644371702086,-0.05077423526126835
TRAIN,follow_mom0bps_cap0.57_win20s_slip5.00c,follow,0.0,0.57,20,5.0,10,-4501.962882882733,3954,3954,1.0,0.4929185634800202,0.7759113751109807,0.5549999999999999,-1.138584441801438,-0.45085263317891666,-0.09551846239556991
TRAIN,follow_mom0bps_cap0.57_win30s_slip0.00c,follow,0.0,0.57,30,0.0,10,-1025.0205940593987,3954,3954,1.0,0.4929185634800202,0.9489788207097325,0.505,-0.25923636673227224,-0.13892208644418635,-0.019925371537446043
