sample_train,strategy,total_pnl_train,trades_train,win_rate_train,profit_factor_train,avg_profit_per_trade_train,max_drawdown_train,raw_5m_sharpe_train,avg_entry_price_train,avg_one_loss_wipes_out_wins_train,sample_test,total_pnl_test,trades_test,win_rate_test,profit_factor_test,avg_profit_per_trade_test,max_drawdown_test,raw_5m_sharpe_test,avg_entry_price_test,avg_one_loss_wipes_out_wins_test,slippage_cents,survived
TRAIN,CHEAP_LEADER_PULLBACK,33862.36873091723,5182,0.8363566190659977,4.993203859777968,6.534613803727743,-0.00320712780495247,0.6855070909513129,0.505784680494348,1.0234125332795982,TEST,13366.084814680464,2153,0.8197863446353925,4.444867220278471,6.208121140120978,-0.003777826871741663,0.6509473016240364,0.5057508118767687,1.0232738316252308,0.0,True
TRAIN,LIVE_PRIORITY_PORTFOLIO,28570.969659035494,6132,0.7411937377690803,2.8003131480173575,4.65932316683553,-0.00416025727749314,0.48608101624123345,0.5055402126042927,1.0224118153911104,TEST,11489.510159295187,2615,0.7277246653919694,2.61369524709202,4.393694133573684,-0.005961531647661222,0.48262288878690607,0.5055191269782215,1.0223254090910745,0.0,True
TRAIN,LIVE_ORB,28230.85653649045,6079,0.7404178318802435,2.789027663909406,4.643996798238267,-0.004165919528743678,0.48245967777652027,0.5055397866538806,1.0224100695300278,TEST,11216.599282748844,2579,0.7254749903063202,2.584265435416505,4.349204840150779,-0.005961531647661222,0.4727637724430378,0.5055186686579455,1.022323537141056,0.0,True
TRAIN,CONSENSUS_2_OF_3,20842.499812041366,3314,0.824381412190706,4.581185534715017,6.289227462897222,-0.004085798511646366,0.4821678264716984,0.5059828004416589,1.0242286663499647,TEST,8102.660439132345,1326,0.8152337858220211,4.307208342502998,6.1106036494210745,-0.004981094887298365,0.4780260549277329,0.5059317586433959,1.0240187812616732,0.0,True
TRAIN,LIVE_VWM,15245.640900454528,2739,0.7871485943775101,3.6150327445033494,5.566133954163756,-0.004992626300355463,0.3844200123534189,0.5056190717872255,1.022734502323334,TEST,5871.932529237416,1082,0.7800369685767098,3.4671985416963933,5.426924703546595,-0.006017066576482155,0.37194386692888365,0.5055808305035726,1.0225777844982566,0.0,True
TRAIN,LIVE_RENKO,13829.055344268963,1617,0.9400123685837971,15.25675808687523,8.552291493054403,-0.0020036673678897055,0.4834399425180172,0.5066495709906658,1.0269649118836017,TEST,5207.565971035419,638,0.9200626959247649,11.210913668696893,8.16232910820598,-0.001921831517595285,0.44025407650721543,0.5065405734512533,1.0265166503087169,0.0,True
TRAIN,OPEN_FLIP_VALUE,2715.1939035522482,664,0.7123493975903614,2.421567488770812,4.089147445108812,-0.0064082368347431196,0.13621949040413137,0.5055681341474969,1.0225243775008253,TEST,1388.430301511622,328,0.7195121951219512,2.509163371208284,4.233019211925676,-0.005742757387803388,0.1509112353971365,0.5055120537283242,1.0222941514265123,0.0,True
TRAIN,CHEAP_LEADER_PULLBACK,32201.281203922576,5182,0.8363566190659977,4.797320896688974,6.21406430025521,-0.0032673700419044716,0.6732402268225789,0.5157846804943481,1.065200114306274,TEST,12689.524327764582,2153,0.8197863446353925,4.2704959607640705,5.893880319444772,-0.003862648417427117,0.63477674217873,0.5157508118767687,1.06505562379321,1.0,True
TRAIN,LIVE_PRIORITY_PORTFOLIO,26827.584963290756,6132,0.7411937377690803,2.690459039904897,4.375013855722556,-0.004236686196857908,0.4690335575000879,0.5155402126042928,1.0641576397204677,TEST,10759.47523555737,2615,0.7277246653919694,2.511162252185024,4.114522078607026,-0.006042107325646695,0.46247809388021294,0.5155191269782216,1.064067625952992,1.0,True
TRAIN,LIVE_ORB,26504.344941878415,6079,0.7404178318802435,2.6796162827552843,4.3599843628686274,-0.004242327887413078,0.4654729732467843,0.5155397866538806,1.064155820962744,TEST,10498.839592826484,2579,0.7254749903063202,2.4828869481393343,4.070895538125819,-0.006042107325646695,0.45282801873709194,0.5155186686579454,1.0640656759836473,1.0,True
TRAIN,CONSENSUS_2_OF_3,19796.50571568952,3314,0.824381412190706,4.4014614631768945,5.973598586508608,-0.0043158948103471095,0.47256431255478387,0.5159828004416589,1.0660504132334359,TEST,7688.672516899704,1326,0.8152337858220211,4.138233680367227,5.798395563272781,-0.00498280765095227,0.4670095937770291,0.5159317586433959,1.0658317497792196,1.0,True
TRAIN,LIVE_VWM,14418.855245534112,2739,0.7871485943775101,3.4732170232477038,5.264277198077441,-0.005233665710224322,0.37462439826467475,0.5156190717872254,1.0644937887229153,TEST,5548.215121597637,1082,0.7800369685767098,3.3311828242006865,5.127740408130901,-0.006055590642328523,0.36149892695235203,0.5155808305035726,1.0643305276646966,1.0,True
