sample,strategy,entry_idx,exit_idx,side,entry_price,exit_price,exit_type,pnl
TRAIN,late_limit_97_to_99,270.0,,UP,0.507065304420647,1.0,settlement,9.701325661249115
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5057497268388823,1.0,settlement,9.752625607736057
TRAIN,late_limit_97_to_99,270.0,,UP,0.505405345849349,1.0,settlement,9.766098588242464
TRAIN,late_limit_97_to_99,270.0,,UP,0.5070739305516506,1.0,settlement,9.70099017025171
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.506738664875656,1.0,settlement,9.714037864376916
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5060888053908058,1.0,settlement,9.739377985604563
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5051644804074552,1.0,settlement,9.775532718242992
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5075930867056372,1.0,settlement,9.68081993216584
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5076384705567311,1.0,settlement,9.679058641148536
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5062881095125974,1.0,settlement,9.731599557862381
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.50545403651666,1.0,settlement,9.764192582405851
TRAIN,late_limit_97_to_99,270.0,,UP,0.5062787025466559,1.0,settlement,9.731966554584538
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5059615546757562,1.0,settlement,9.74434752321936
TRAIN,late_limit_97_to_99,270.0,,UP,0.5078676506908661,1.0,settlement,9.670169252553748
TRAIN,late_limit_97_to_99,270.0,,UP,0.505868773322735,1.0,settlement,9.747972500686817
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5054062188457736,1.0,settlement,9.766064411390897
TRAIN,late_limit_97_to_99,270.0,,UP,0.505263350340047,1.0,settlement,9.771659128392958
TRAIN,late_limit_97_to_99,270.0,,UP,0.5056507967486934,1.0,settlement,9.756494102846165
TRAIN,late_limit_97_to_99,270.0,,UP,0.5060798301708584,1.0,settlement,9.739728414040695
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5068406142018157,1.0,settlement,9.71006842742512
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5063523224514863,1.0,settlement,9.729094763869877
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5056995039367903,1.0,settlement,9.754589300862644
TRAIN,late_limit_97_to_99,270.0,,UP,0.5069077603377625,1.0,settlement,9.707454938422732
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5183589236210879,1.0,settlement,9.271652066377545
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5079042494503151,1.0,settlement,9.668750410776457
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5054038052940032,1.0,settlement,9.766158899580912
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5075822295697899,1.0,settlement,9.681241330839484
TRAIN,late_limit_97_to_99,270.0,,UP,0.507571032967348,1.0,settlement,9.681675924132772
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5057464552948069,1.0,settlement,9.752753511778657
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5059371000376789,1.0,settlement,9.745302839533345
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5064447451479452,1.0,settlement,9.725490689371746
TRAIN,late_limit_97_to_99,270.0,,UP,0.5064119976501988,1.0,settlement,9.726767545794683
TRAIN,late_limit_97_to_99,270.0,,UP,0.5056535672179382,1.0,settlement,9.756385747695063
TRAIN,late_limit_97_to_99,270.0,,UP,0.5059847603396833,1.0,settlement,9.743441083258492
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5057188422368067,1.0,settlement,9.7538331357593
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5051334873759891,1.0,settlement,9.776747295347377
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5078770430633943,1.0,settlement,9.669805114407936
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5051647602795531,1.0,settlement,9.77552175109384
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5055047627004322,1.0,settlement,9.762207286395267
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5067923846997552,1.0,settlement,9.7119460629315
TRAIN,late_limit_97_to_99,270.0,,UP,0.5053796176620069,1.0,settlement,9.767105871546853
TRAIN,late_limit_97_to_99,270.0,,UP,0.5084198907281074,1.0,settlement,9.648782009450915
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5050063420689644,1.0,settlement,9.78173151693684
TRAIN,late_limit_97_to_99,270.0,,DOWN,0.5061467114748067,1.0,settlement,9.73711739954226
