sample,strategy,total_pnl,final_equity,sharpe_ann,max_drawdown,win_rate,profit_factor,avg_profit_per_trade,trades,signals,fills,rating
TRAIN,08 Opening Range Breakout,1331275.6207753634,1341275.6207753634,65.83879144241665,-0.07711432511660421,0.7221772233921918,2.533167509228519,215.66104337848103,6173,6173,6173,A - promising
TRAIN,10 Volume Weighted Momentum,768339.581099538,778339.581099538,60.95852542521143,-0.11380103464583591,0.7871485943775101,3.602496046075901,280.51828444670974,2739,2739,2739,A - promising
TRAIN,09 Renko Change Sequencing,699109.1389955089,709109.1389955089,80.08966196206902,-0.015584687159576616,0.9400123685837971,15.212431738682444,432.3494984511496,1617,1617,1617,A - promising
TRAIN,06 Double MA Crossover,606939.3116231649,616939.3116231649,43.67550607096712,-0.21030120753650294,0.6032201498485573,1.4831858406868657,96.75423427756495,6273,6273,6273,A - promising
TRAIN,02 Composite Technical Score,374640.2670500262,384640.2670500262,48.06847896681065,-0.2811338337146696,0.5661434977578476,1.2734193511213785,60.000042769062496,6244,6244,6244,B - workable
TRAIN,03 Oracle Lag Arbitrage,50722.3309559287,60722.3309559287,33.171979387143104,-0.030088288168340638,0.8661971830985915,6.262115145073069,357.19951377414577,142,142,142,A - promising
TRAIN,12 Creative Wick Reclaim Fade,411.78186561265284,10411.781865612653,1.2378932262952458,-0.1845180740658755,0.5333333333333333,1.116324593151596,27.452124374176854,15,15,15,A - promising
TRAIN,11 Creative Late Shock Continuation,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,D - too few trades
TRAIN,01 End-of-Window Momentum Sniper,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,D - too few trades
TRAIN,04 Volatility Spike Reversal,-2508.619454190268,7491.380545809732,-62.37782575912304,-0.25086194541902673,0.0,0.0,-10.954670105634357,229,284,229,F - avoid
TRAIN,05 Market Making & Spread Capture,-3110.391084693624,6889.608915306376,-75.48557223436586,-0.31103910846936245,0.0,0.0,-9.482899648456172,328,328,660,F - avoid
TRAIN,13 Creative Chop Box Contrarian,-3554.870836742697,6445.129163257303,-1.7947118420874903,-0.5763923002302322,0.46875,0.8615212684771746,-37.02990454940309,96,96,96,F - avoid
TRAIN,14 Creative Settlement Gravity,-87164.37702474635,-77164.37702474635,-54.232735530893294,-8.716437702474636,0.22330097087378642,0.28134282485835,-141.04268126981611,618,618,618,F - avoid
TRAIN,07 RSI + Bollinger Reversion,-450716.34692618594,-440716.34692618594,-132.0812443506947,-47.36048978017579,0.0,0.0,-493.1251060461553,914,4428,914,F - avoid
