strategy,sample,total_pnl,trades,win_rate,avg_pnl,profit_factor,max_drawdown,sharpe,avg_hold_seconds,avg_entry_price,avg_exit_price
late_momentum,TRAIN,5305.399694408194,1784,0.6614349775784754,2.973878752470983,1.876624184480085,-0.007114155080044204,49.18644218440866,20.483744394618835,0.5061425277413645,0.6614349775784754
spread_capture,TRAIN,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_spike,TRAIN,4708.502361628995,1543,0.6629941672067401,3.051524537672719,1.9036738756389155,-0.010055962493448645,45.72846927264733,161.20285158781596,0.5057918689500744,0.6629941672067401
mean_reversion,TRAIN,-7313.699803141741,944,0.038135593220338986,-7.747563350785592,0.04593181783509932,-0.731369980314174,-95.97416716751341,198.32733050847457,0.5038719486447145,0.11476203969797817
opening_breakout,TRAIN,18101.545787885952,7075,0.6368904593639576,2.5585223728461925,1.7032080559739537,-0.013605073525057354,81.31443752331083,236.4391519434629,0.5052765337765455,0.6368904593639576
vwap_reversion,TRAIN,-16629.146435397746,2537,0.018131651556957035,-6.55464975774426,0.0262954632379277,-1.6635795502491244,-100.76895534823643,109.59322033898304,0.5037039963944944,0.17497764453176978
late_momentum,TEST,1795.4690816646216,505,0.691089108910891,3.5553843201279625,2.148644430155472,-0.007922571908698828,62.726299708641164,20.433663366336635,0.5063440970294157,0.691089108910891
spread_capture,TEST,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
volume_spike,TEST,1366.1575045335776,385,0.6883116883116883,3.5484610507365617,2.136192202705902,-0.007401414719219179,55.122556161715245,153.4233766233766,0.5058390065677845,0.6883116883116883
mean_reversion,TEST,-1933.2423096598814,243,0.02880658436213992,-7.955729669382239,0.0341954281878438,-0.19251513112737773,-108.34096198766831,202.34567901234567,0.5038739298661482,0.10424268084758548
opening_breakout,TEST,5314.326715578434,1764,0.6598639455782312,3.0126568682417694,1.8839532128374052,-0.007850504008516501,102.08096564310901,235.37074829931973,0.5052682169196097,0.6598639455782312
vwap_reversion,TEST,-3293.5980603006174,538,0.01858736059479554,-6.121929480112687,0.02876722753980436,-0.32934624458166084,-148.21890438141702,104.24721189591078,0.5037395399611091,0.19681803473357354
